NO;ITEM;RESTO;VENDOR UTAMA;LEAD TIME;LOKASI;VENDOR ALTERNATIF 1;LEAD TIME2;LOKASI3;VENDOR ALTERNATIF 2;LEAD TIME4;LOKASI5
;;PARE;SWALAYAN ORIENTAL;2;BONE;HIBA PLATIK;2;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR
;;PINRANG;SWALAYAN ORIENTAL;2;BONE;HIBA PLATIK;2;PINRANG;MAKASSAR PLASTIK;3;MAKASSAR
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
;;;;;;;;;;;
63;CUP KARAKTER 14 Oz;TUUK TEA;MAWAR ADVERTISING;7;MAKASSAR;BASS PACKAGING;7;BONE;;;
64;CUP PUDING;PALOPO;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;SWALAYAN ORIENTAL;2;BONE
;;BONE;SWALAYAN ORIENTAL;1;BONE;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO
;;PARE;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;SWALAYAN ORIENTAL;2;BONE
;;PINRANG;DAPUR MARKET;1;PALOPO;DP INDO MARKET;1;PALOPO;SWALAYAN ORIENTAL;2;BONE
;;MAKASSAR;MAKASSAR PLASTIK;1;MAKASSAR;SUMBER PLASTIK;1;MAKASSAR;RAJA PLASTIK;1;MAKASSAR
;;;;;;;;;;;
65;CUP SEMULA 18 Oz;PALOPO;OM CAPUNG;1;PALOPO;BASS PACKAGING;6;BONE;MAWAR ADVERTISING;7;MAKASSAR
;;BONE;BASS PACKAGING;5;BONE;MAWAR ADVERTISING;7;MAKASSAR;;;
;;PARE;MAWAR ADVERTISING;7;MAKASSAR;BASS PACKAGING;6;BONE;;;
;;PINRANG;MAWAR ADVERTISING;7;MAKASSAR;BASS PACKAGING;6;BONE;;;
;;MAKASSAR;MAWAR ADVERTISING;5;MAKASSAR;BASS PACKAGING;5;MAKASSAR;;;
;;;;;;;;;;;
66;CUP SEMULA 22 Oz;TUUK TEA;OM CAPUNG;1;PALOPO;MAWAR ADVERTISING;7;MAKASSAR;BASS PACKAGING;5;BONE
67;CUP WEDDING 12 OZ;TUUK TEA;OM CAPUNG;1;PALOPO;;;;;;
